GEO_ID,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other Race,MORE THAN 1 RACE
7000000US37041000004,895,501,347,2,1,0,25,57
7000000US37041000005,1072,875,156,2,2,0,7,90
7000000US37041000006,1621,1099,443,2,0,0,17,180
7000000US3704300BRAS,846,791,5,6,0,0,7,111
7000000US3704300HAY1,1264,1125,18,9,4,0,43,195
7000000US3704300HAY2,1484,1380,12,5,6,0,29,156
7000000US3704300HAYC,476,422,3,1,1,2,21,78
7000000US3704300HIAW,1571,1496,5,2,2,0,9,171
7000000US3704300SHCR,1295,1229,3,9,4,0,5,135
7000000US3704300SWEE,812,752,0,5,2,1,7,135
7000000US3704300TUSQ,659,621,1,0,6,0,0,93
7000000US3704300WARN,827,781,6,2,0,0,3,105
7000000US370450000BR,6141,5028,699,15,44,2,103,750
7000000US37045000S-5,2769,1800,841,9,19,0,26,222
7000000US37045000S-C,8358,4899,2798,28,79,4,189,1083
7000000US37045000S-S,7145,4294,2269,26,77,0,193,858
7000000US3704500KM-N,5659,4137,1116,13,46,0,83,792
7000000US3704500KM-S,5086,3657,1034,21,139,2,80,459
7000000US3704500LATT,3367,2803,312,16,18,0,86,396
7000000US3704500S-4A,5237,3177,1764,11,20,0,83,546
7000000US3704500WACO,4052,2948,730,11,33,1,123,618
7000000US370450CASAR,1467,1423,8,3,4,0,2,81
7000000US370450MULLS,2372,2226,48,7,7,2,25,171
7000000US370450RIPPY,4419,3261,893,13,20,0,75,471
7000000US37045BETHWR,2040,1653,234,3,48,0,32,210
7000000US37045FALSTN,1770,1592,80,2,8,1,19,204
7000000US37045GROVER,3839,3046,498,15,93,5,57,375
7000000US37045KINGST,906,418,464,0,6,0,1,51
7000000US37045LAWNDL,1959,1321,521,9,6,0,19,249
7000000US37045MRB-YO,1763,1551,112,9,3,0,23,195
