"GEO_ID","NAME","P4_001N","P4_002N","P4_003N","P4_004N","P4_005N","P4_006N","P4_007N","P4_008N","P4_009N","P4_010N","P4_011N","P4_012N","P4_013N","P4_014N","P4_015N","P4_016N","P4_017N","P4_018N","P4_019N","P4_020N","P4_021N","P4_022N","P4_023N","P4_024N","P4_025N","P4_026N","P4_027N","P4_028N","P4_029N","P4_030N","P4_031N","P4_032N","P4_033N","P4_034N","P4_035N","P4_036N","P4_037N","P4_038N","P4_039N","P4_040N","P4_041N","P4_042N","P4_043N","P4_044N","P4_045N","P4_046N","P4_047N","P4_048N","P4_049N","P4_050N","P4_051N","P4_052N","P4_053N","P4_054N","P4_055N","P4_056N","P4_057N","P4_058N","P4_059N","P4_060N","P4_061N","P4_062N","P4_063N","P4_064N","P4_065N","P4_066N","P4_067N","P4_068N","P4_069N","P4_070N","P4_071N","P4_072N","P4_073N",
"7000000US370210041.1","FRENCH BROAD FIRE DEPT, Buncombe County, North Carolina","3929","438","3491","3309","3237","24","16","21","0","11","182","180","8","96","23","1","50","1","1","0","0","0","0","0","0","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210042.1","HAZEL 1 - EMMA ELEMENTARY SCHOOL, Buncombe County, North Carolina","3137","793","2344","2254","2077","147","9","10","0","11","90","83","3","55","4","0","11","5","1","0","0","0","0","0","3","1","0","6","1","0","1","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210043.2","HAZEL 2 - JOHNSTON SCHOOL, Buncombe County, North Carolina","2232","337","1895","1779","1545","158","0","14","54","8","116","106","19","61","8","0","16","0","0","0","0","0","0","0","1","1","0","9","3","4","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210044.1","LOWER HOMINY 1 - OAK FOREST PRESBYTERIAN, Buncombe County, North Carolina","6208","352","5856","5676","5391","149","12","90","3","31","180","176","18","97","17","1","40","0","0","0","1","1","0","0","0","1","0","4","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210045.1","ENKA MIDDLE SCHOOL, Buncombe County, North Carolina","4792","407","4385","4188","3972","159","4","28","18","7","197","191","30","107","16","2","34","0","0","0","1","0","0","1","0","0","0","6","2","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210046.1","LOWER HOMINY 3 - ARBORETUM MAIN BLDG ROOM 1, Buncombe County, North Carolina","1679","123","1556","1505","1422","39","7","33","0","4","51","49","4","18","12","0","9","5","0","0","0","0","0","0","1","0","0","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210047.1","UPPER HOMINY 1 - PISGAH ELEMENTARY, Buncombe County, North Carolina","4911","271","4640","4436","4333","28","14","30","8","23","204","201","10","134","14","0","39","1","1","0","2","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0",
"7000000US370210048.1","HOMINY VALLEY ELEMENTARY, Buncombe County, North Carolina","4780","614","4166","3972","3792","111","13","40","9","7","194","181","25","109","11","0","32","4","0","0","0","0","0","0","0","0","0","13","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210049.1","UPPER HOMINY 3 - POLE CREEK BAPTIST, Buncombe County, North Carolina","4984","281","4703","4506","4339","107","28","17","2","13","197","190","23","102","19","1","38","1","3","0","0","0","0","0","0","3","0","7","5","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210050.1","IVY 1 - BARNARDSVILLE SCHOOL, Buncombe County, North Carolina","1699","22","1677","1617","1584","11","5","7","0","10","60","58","1","41","1","0","15","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210051.2","NORTH WINDY RIDGE SCHOOL, Buncombe County, North Carolina","2252","76","2176","2101","2052","18","5","14","0","12","75","73","4","45","6","0","17","1","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210052.1","LEICESTER 1 - LEICESTER SCHOOL, Buncombe County, North Carolina","4661","231","4430","4255","4115","53","17","57","1","12","175","172","13","105","15","2","28","2","2","0","1","0","0","0","4","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210053.1","LEICESTER 2 - COMMUNITY CENTER, Buncombe County, North Carolina","3568","159","3409","3301","3211","53","3","13","2","19","108","103","7","63","10","0","14","0","0","0","8","0","0","0","1","0","0","5","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210054.2","LUTHERAN CHURCH OF THE NATIVITY, Buncombe County, North Carolina","5417","1080","4337","4157","3315","675","25","105","6","31","180","173","35","77","13","4","23","11","0","0","7","0","0","0","3","0","0","4","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0",
